,precision,recall,f1-score,support
pessoa,0.9969325153374233,0.9863429438543247,0.9916094584286804,659.0
capacete,0.9828326180257511,0.9807280513918629,0.9817792068595926,467.0
luvas,0.9778393351800554,0.988795518207283,0.9832869080779945,357.0
colete,1.0,0.9953488372093023,0.9976689976689977,645.0
mascara,0.9325301204819277,0.9393203883495146,0.9359129383313181,412.0
micro avg,0.9818611987381703,0.9803149606299213,0.9810874704491727,2540.0
macro avg,0.9780269178050315,0.9781071478024576,0.9780515018733166,2540.0
weighted avg,0.9819891387886701,0.9803149606299213,0.9811368436932209,2540.0
samples avg,0.847905643738977,0.847067901234568,0.8451604098429496,2540.0
