,loss,binary_accuracy,val_loss,val_binary_accuracy
0,0.6100524067878723,0.6545403003692627,0.5846555829048157,0.6704635620117188
1,0.5657219886779785,0.6927355527877808,0.5696523189544678,0.7112582921981812
2,0.5555179119110107,0.7080590128898621,0.5591982007026672,0.7038410305976868
3,0.5458762645721436,0.7217934131622314,0.548823356628418,0.7250331044197083
4,0.5362666845321655,0.7361521124839783,0.5385585427284241,0.7499337792396545
5,0.5268916487693787,0.752497136592865,0.5285843014717102,0.7607946991920471
6,0.5177592039108276,0.7642451524734497,0.5189087986946106,0.7695364356040955
7,0.5089058876037598,0.7697502970695496,0.5095608830451965,0.775894045829773
8,0.5003530979156494,0.7769579887390137,0.5005549192428589,0.7798675298690796
9,0.4921051859855652,0.783484697341919,0.4918915331363678,0.7835761308670044
10,0.48416388034820557,0.789387047290802,0.4835664629936218,0.7843708395957947
11,0.4765236973762512,0.7947219014167786,0.47557756304740906,0.7904635667800903
12,0.46917515993118286,0.7986379265785217,0.4679068922996521,0.7962914109230042
13,0.46211278438568115,0.8032917380332947,0.46055328845977783,0.8037086129188538
14,0.4553242623806,0.8068104386329651,0.4534924626350403,0.8087417483329773
15,0.44879698753356934,0.8103291988372803,0.4467158317565918,0.8174834251403809
16,0.4425223767757416,0.8148127198219299,0.440213143825531,0.8217218518257141
17,0.43648648262023926,0.8180477023124695,0.43396925926208496,0.8267549872398376
18,0.4306804835796356,0.8223041892051697,0.42797306180000305,0.8291390538215637
19,0.42509379982948303,0.8248013854026794,0.4222090244293213,0.8323178887367249
20,0.4197125732898712,0.8269012570381165,0.41666659712791443,0.8347020149230957
21,0.41453003883361816,0.8296254277229309,0.4113329350948334,0.8373509645462036
22,0.4095333516597748,0.8321793675422668,0.4062061309814453,0.8407946825027466
23,0.4047141671180725,0.834733247756958,0.4012647569179535,0.842648983001709
24,0.40006542205810547,0.8379114866256714,0.39650386571884155,0.8450331091880798
25,0.39557504653930664,0.8400681018829346,0.3919089734554291,0.8484768271446228
26,0.39123931527137756,0.8430760502815247,0.3874812126159668,0.8569536209106445
27,0.3870491087436676,0.8465947508811951,0.38320568203926086,0.8606622219085693
28,0.3829957842826843,0.8501135110855103,0.37907564640045166,0.863311231136322
29,0.3790739178657532,0.8544268012046814,0.37508270144462585,0.8670198917388916
30,0.37527701258659363,0.8584563136100769,0.37122195959091187,0.8707284927368164
31,0.37159842252731323,0.8619182705879211,0.36748969554901123,0.8725827932357788
32,0.36803388595581055,0.8651532530784607,0.3638790249824524,0.8744370937347412
33,0.3645757734775543,0.8676503896713257,0.36037492752075195,0.8768212199211121
34,0.3612208664417267,0.8700907826423645,0.35697758197784424,0.8776158690452576
35,0.3579656183719635,0.872417688369751,0.3536894619464874,0.8789404034614563
36,0.3548000752925873,0.8747445940971375,0.35049450397491455,0.8805298209190369
37,0.35172611474990845,0.876674234867096,0.34739646315574646,0.8813245296478271
38,0.348737508058548,0.8782633543014526,0.34438228607177734,0.8834437131881714
39,0.345827579498291,0.8795686960220337,0.3414563834667206,0.8837085962295532
40,0.34299811720848083,0.8808172345161438,0.33861199021339417,0.8839735388755798
41,0.34024277329444885,0.882236123085022,0.3358476161956787,0.8855628967285156
42,0.337557315826416,0.8836549520492554,0.3331521451473236,0.8884768486022949
43,0.33494171500205994,0.8851305246353149,0.3305286765098572,0.890860915184021
44,0.3323899805545807,0.8868898749351501,0.3279731869697571,0.89298015832901
45,0.3299002945423126,0.8886492848396301,0.32548198103904724,0.8945695161819458
46,0.32747095823287964,0.8899546265602112,0.32305383682250977,0.8966887593269348
47,0.3250991404056549,0.8923382759094238,0.3206848204135895,0.898807942867279
48,0.3227839767932892,0.8941543698310852,0.3183751404285431,0.9014569520950317
49,0.3205215036869049,0.8960840106010437,0.31611931324005127,0.903576135635376
50,0.3183099925518036,0.8979568481445312,0.3139140009880066,0.9059602618217468
