,precision,recall,f1-score,support
pessoa,0.983358547655068,0.9863429438543247,0.9848484848484848,659.0
capacete,0.8085106382978723,0.8950749464668094,0.8495934959349594,467.0
luvas,0.924119241192412,0.9551820728291317,0.9393939393939394,357.0
colete,0.9815100154083205,0.9875968992248062,0.9845440494590418,645.0
mascara,0.86,0.8349514563106796,0.8472906403940887,412.0
micro avg,0.9206471494607088,0.9409448818897638,0.9306853582554517,2540.0
macro avg,0.9114996885107345,0.9318296637371504,0.9211341220061028,2540.0
weighted avg,0.9224064094621472,0.9409448818897638,0.9312022071747482,2540.0
samples avg,0.8190035273368607,0.8141093474426808,0.8095322079449062,2540.0
